iter	Passed	Remaining
155	3187	15895
156	3202	15849
157	3218	15806
158	3231	15752
159	3245	15700
160	3262	15664
161	3278	15621
162	3300	15613
163	3318	15579
164	3335	15547
165	3352	15509
166	3375	15504
167	3401	15511
168	3429	15522
169	3452	15514
170	3475	15508
171	3499	15502
172	3522	15493
173	3545	15487
174	3565	15464
175	3583	15432
176	3598	15388
177	3620	15376
178	3644	15373
179	3667	15363
180	3688	15343
181	3707	15319
182	3728	15299
183	3750	15289
184	3773	15276
185	3794	15258
186	3811	15226
187	3828	15191
188	3845	15157
189	3861	15120
190	3872	15064
191	3888	15027
192	3903	14988
193	3916	14938
194	3932	14904
195	3948	14868
196	3962	14826
197	3977	14784
198	3988	14731
199	4003	14694
200	4015	14642
201	4032	14611
202	4053	14596
203	4075	14583
204	4095	14562
205	4115	14545
206	4136	14529
207	4157	14509
208	4173	14477
209	4189	14442
210	4207	14417
211	4228	14399
212	4247	14379
213	4264	14349
214	4276	14302
215	4295	14277
216	4318	14269
217	4338	14248
218	4359	14233
219	4372	14189
220	4386	14153
221	4400	14112
222	4415	14077
223	4427	14032
224	4440	13992
225	4454	13956
226	4469	13921
227	4484	13885
228	4494	13835
229	4507	13795
230	4523	13765
231	4539	13734
232	4553	13699
233	4565	13657
234	4579	13622
235	4593	13587
236	4609	13556
237	4623	13521
238	4639	13491
239	4655	13461
240	4675	13445
241	4695	13427
242	4715	13408
243	4734	13389
244	4749	13357
245	4772	13346
246	4799	13348
247	4841	13392
248	4868	13393
249	4883	13360
250	4901	13338
251	4917	13309
252	4943	13307
253	4974	13316
254	4998	13308
255	5024	13306
256	5050	13303
257	5072	13289
258	5087	13259
259	5111	13250
260	5136	13244
261	5153	13217
262	5179	13214
263	5205	13211
264	5231	13206
265	5250	13185
266	5262	13145
267	5279	13118
268	5295	13091
269	5316	13073
270	5334	13050
271	5354	13030
272	5380	13026
273	5398	13004
274	5419	12988
275	5441	12973
276	5458	12946
277	5476	12922
278	5493	12897
279	5515	12882
280	5534	12862
281	5554	12843
282	5575	12825
283	5587	12788
284	5606	12766
285	5621	12735
286	5635	12703
287	5647	12667
288	5663	12640
289	5680	12614
290	5694	12582
291	5704	12541
292	5718	12509
293	5733	12481
294	5749	12454
295	5767	12430
296	5790	12420
297	5811	12404
298	5832	12386
299	5853	12371
300	5873	12351
301	5889	12324
302	5901	12290
303	5922	12274
304	5941	12253
305	5961	12233
306	5981	12216
307	6000	12195
308	6017	12171
309	6029	12137
310	6048	12115
311	6068	12097
312	6086	12076
313	6103	12051
314	6121	12028
315	6142	12012
316	6157	11985
317	6171	11954
318	6185	11925
319	6200	11897
320	6215	11868
321	6228	11837
322	6243	11810
323	6257	11780
324	6270	11749
325	6285	11722
326	6300	11695
327	6316	11670
328	6341	11661
329	6365	11650
330	6398	11656
331	6429	11658
332	6457	11655
333	6478	11638
334	6500	11623
335	6526	11615
336	6548	11600
337	6564	11574
338	6576	11542
339	6594	11520
340	6611	11497
341	6630	11476
342	6648	11456
343	6668	11436
344	6686	11415
345	6704	11393
346	6722	11372
347	6742	11352
348	6761	11333
349	6781	11314
350	6800	11296
351	6821	11278
352	6835	11251
353	6854	11230
354	6873	11209
355	6891	11188
356	6908	11166
357	6928	11146
358	6942	11118
359	6958	11095
360	6976	11073
361	6993	11050
362	7011	11029
363	7032	11012
364	7049	10989
365	7066	10966
366	7082	10942
367	7100	10921
368	7114	10893
369	7129	10867
370	7147	10846
371	7160	10818
372	7169	10783
373	7182	10754
374	7193	10723
375	7207	10696
376	7220	10668
377	7234	10641
378	7247	10613
379	7260	10584
380	7274	10557
381	7290	10534
382	7305	10510
383	7322	10487
384	7337	10463
385	7353	10439
386	7367	10413
387	7381	10387
388	7395	10361
389	7410	10336
390	7428	10315
391	7444	10293
392	7458	10267
393	7473	10242
394	7487	10216
395	7502	10192
396	7517	10168
397	7530	10141
398	7544	10116
399	7557	10089
400	7568	10060
401	7585	10038
